SalePrice,YearBuilt,LotArea,TotalBsmtSF,1stFlrSF,GarageArea,MSZoning,LandContour,LandSlope,Street,BldgType,RoofStyle,Foundation,Electrical,BedroomAbvGr,GarageType,GarageCars,PavedDrive,SaleType,SaleCondition,HeatingQC,LotFrontage
82000,1955,6040,0,1152,0,RL,Lvl,Gtl,Pave,Duplex,Gable,PConc,FuseP,2,NA,0,N,WD,AdjLand,TA,65
160000,1965,8658,1088,1324,440,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Abnorml,Ex,84
170000,1959,16905,1350,1328,308,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Attchd,1,P,WD,Normal,Gd,115
144000,1983,9180,840,884,504,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Attchd,2,Y,WD,Normal,Gd,NA
130250,1975,9200,938,938,308,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Detchd,1,Y,WD,Normal,TA,NA
141000,1959,7945,1150,1150,300,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,FuseA,3,Attchd,1,Y,WD,Normal,Ex,70
319900,2005,7658,1752,1752,576,RL,Lvl,Gtl,Pave,TwnhsE,Hip,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,61
239686,2003,12822,1434,1518,670,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,1,Attchd,2,Y,WD,Abnorml,Ex,48
249700,2006,11096,1656,1656,826,FV,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,WD,Normal,Ex,84
113000,1920,4456,736,736,0,RM,Lvl,Gtl,Pave,2fmCon,Gable,BrkTil,SBrkr,2,NA,0,N,New,Partial,Gd,33
127000,1966,7742,955,955,386,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,1,Y,WD,Normal,Ex,66
177000,1997,13869,794,794,388,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,NA
114500,1934,6240,816,816,528,RM,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Detchd,2,Y,WD,Normal,TA,52
110000,1963,8472,816,816,516,RM,Bnk,Mod,Grvl,Duplex,Gable,CBlock,SBrkr,2,CarPort,2,Y,WD,Normal,TA,110
385000,1981,50271,1842,1842,894,RL,Low,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,0,Attchd,3,Y,WD,Normal,Gd,68
130000,1955,7134,384,1360,572,RL,Bnk,Mod,Pave,1Fam,Gable,CBlock,SBrkr,3,Detchd,2,Y,WD,Normal,TA,60
180500,1964,10175,1425,1425,576,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,100
172500,1999,2645,970,983,480,FV,Lvl,Gtl,Pave,Twnhs,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Abnorml,Ex,24
196500,2004,11645,860,860,565,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,89
438780,2006,13682,1410,1426,641,RL,HLS,Gtl,Pave,1Fam,Hip,PConc,SBrkr,3,BuiltIn,3,Y,New,Partial,Ex,66
124900,1972,7200,780,780,352,RL,Bnk,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Detchd,1,Y,WD,Normal,Ex,60
158000,2004,13072,1158,1158,576,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Detchd,2,Y,New,Partial,Ex,63
101000,1920,7200,530,581,288,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,3,Detchd,1,N,WD,Normal,TA,60
202500,2006,6442,1370,1370,484,RL,Lvl,Gtl,Pave,TwnhsE,Gable,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,44
140000,1921,10300,576,902,480,RM,Bnk,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,3,Detchd,2,Y,WD,Normal,Gd,50
219500,1997,9375,1057,1057,645,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,NA
317000,2004,9591,1143,1143,852,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,BuiltIn,3,Y,WD,Normal,Ex,76
180000,1970,19900,1947,2207,576,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,NA
226000,2003,10665,1453,1479,558,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,72
80000,1945,4608,747,747,220,RM,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Attchd,1,Y,WD,Normal,TA,47
225000,1953,15593,1304,1304,667,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,81
244000,1973,13651,2223,2223,516,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,95
129500,1982,7599,845,845,360,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Detchd,2,Y,WD,Normal,TA,69
185000,1998,10141,832,885,427,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,74
144900,1954,10200,1086,1086,490,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,85
107400,1915,5790,840,840,379,RM,Lvl,Gtl,Pave,1Fam,Gambrel,CBlock,SBrkr,3,Detchd,1,Y,WD,Normal,Gd,60
91000,1973,1596,462,526,297,RM,Lvl,Gtl,Pave,Twnhs,Gable,CBlock,SBrkr,2,BuiltIn,1,Y,WD,Normal,TA,21
135750,1956,8475,952,952,283,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,FuseA,2,Detchd,1,Y,WD,Normal,Ex,NA
127000,1948,8635,672,1072,240,RM,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Detchd,1,Y,WD,Normal,TA,50
136500,1968,10778,1768,1768,0,RL,Lvl,Gtl,Pave,Duplex,Hip,CBlock,SBrkr,4,NA,0,Y,WD,Normal,TA,72
110000,1910,10440,440,682,440,RM,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,2,Detchd,2,Y,WD,Normal,Gd,60
193500,1968,13000,896,1182,509,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,4,Attchd,1,Y,WD,Normal,TA,100
153500,1998,4500,1237,1337,405,RM,Lvl,Gtl,Pave,TwnhsE,Hip,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,32
245000,2007,10206,1563,1563,758,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,WD,Normal,Ex,78
126500,1960,8892,1065,1065,461,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Detchd,2,Y,COD,Normal,Gd,80
168500,1995,8530,384,804,400,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,2,Y,WD,Normal,Gd,NA
260000,1991,16059,1288,1301,462,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,4,Attchd,2,Y,WD,Normal,Ex,121
174000,2005,11911,684,684,400,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,2,Y,WD,Normal,Ex,122
164500,2009,3951,612,612,528,FV,Lvl,Gtl,Pave,TwnhsE,Gable,PConc,SBrkr,2,Detchd,2,Y,New,Partial,Ex,40
85000,1915,8470,1013,1013,0,C (all),Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,2,NA,0,N,ConLD,Abnorml,TA,105
123600,1994,8070,990,990,0,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,NA,0,Y,WD,Normal,Ex,60
109900,1950,7200,0,1040,420,RL,Lvl,Gtl,Pave,1Fam,Gable,Slab,FuseA,2,Detchd,2,Y,WD,Normal,TA,60
98600,1961,8500,1235,1235,480,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,2,Attchd,2,Y,WD,Abnorml,TA,85
163500,1921,13360,876,964,432,RL,HLS,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,2,Detchd,2,Y,WD,Normal,Ex,80
133900,1910,7200,1214,1260,506,C (all),Lvl,Gtl,Pave,2fmCon,Hip,BrkTil,SBrkr,4,Detchd,2,Y,WD,Normal,Ex,60
204750,1997,9337,824,905,684,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,69
185000,1993,9765,680,680,420,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,2,Y,WD,Normal,Gd,NA
214000,1999,10264,1588,1588,472,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,78
94750,1965,10921,960,960,432,RL,HLS,Gtl,Pave,1Fam,Hip,CBlock,FuseF,3,Attchd,1,P,WD,Normal,TA,73
83000,1920,10625,458,835,366,RL,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,2,Basment,1,Y,COD,Abnorml,Fa,85
128950,1959,9320,950,1225,0,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,NA,0,Y,WD,Normal,Fa,77
205000,1977,10603,1610,1610,480,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,NA
178000,1985,9206,741,977,476,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,77
118964,1979,7018,0,1535,410,RL,Bnk,Gtl,Pave,Duplex,Gable,Slab,SBrkr,4,Attchd,2,Y,WD,Alloca,TA,64
198900,2009,10402,1226,1226,740,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,WD,Normal,Ex,94
169500,1931,7758,1040,1226,240,RM,Lvl,Gtl,Pave,1Fam,Gable,PConc,FuseF,4,Detchd,1,Y,WD,Normal,Ex,NA
250000,2003,9375,1053,1053,648,FV,Lvl,Gtl,Pave,1Fam,Hip,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,75
100000,1885,10800,641,1047,273,RM,Lvl,Gtl,Pave,1Fam,Mansard,BrkTil,SBrkr,2,Detchd,1,N,WD,Normal,Gd,60
115000,1948,6000,789,789,250,RM,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Detchd,1,Y,WD,Partial,Ex,50
115000,1919,8500,793,997,0,RM,Lvl,Gtl,Pave,1Fam,Gable,CBlock,FuseF,3,NA,0,N,WD,Normal,TA,85
190000,1977,11751,1844,1844,546,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Attchd,2,Y,COD,Normal,Ex,105
136900,1954,9525,994,1216,325,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,4,Attchd,1,Y,WD,Normal,Gd,75
180000,2000,7750,384,774,400,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,2,Y,WD,Normal,Ex,NA
383970,2007,9965,1264,1282,792,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,BuiltIn,3,Y,New,Partial,Ex,77
217000,1953,21000,1809,2259,450,RL,Bnk,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Basment,2,Y,COD,Abnorml,TA,NA
259500,1945,7259,1028,1436,180,RL,Lvl,Mod,Pave,1Fam,Gambrel,CBlock,SBrkr,3,Detchd,1,Y,WD,Normal,Ex,61
176000,1999,3230,729,729,440,FV,Lvl,Gtl,Pave,TwnhsE,Gable,PConc,SBrkr,2,Detchd,2,Y,WD,Normal,Gd,34
139000,1962,11616,1092,1092,288,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,1,Y,WD,Normal,TA,NA
155000,2006,8536,1125,1125,430,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,2,Attchd,2,Y,New,Partial,Gd,74
320000,1990,12376,1673,1699,594,RL,Lvl,Gtl,Pave,1Fam,Hip,PConc,SBrkr,5,Attchd,3,Y,WD,Normal,Gd,90
163990,2005,8461,728,728,390,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,New,Partial,Ex,65
180000,1969,21453,938,988,540,RL,Low,Sev,Pave,1Fam,Flat,CBlock,SBrkr,1,Attchd,2,Y,WD,Normal,Ex,NA
100000,1939,6060,732,772,264,RM,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Detchd,1,P,WD,Normal,Gd,50
136000,1958,9464,1080,1080,288,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Attchd,1,Y,WD,Normal,Gd,75
153900,1993,7892,1199,1199,530,RL,Lvl,Gtl,Pave,TwnhsE,Gable,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,55
181000,1979,17043,1362,1586,435,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,48
84500,1935,6780,520,520,0,RM,Lvl,Gtl,Pave,2fmCon,Gable,CBlock,SBrkr,2,NA,0,N,WD,Normal,Gd,60
128000,1976,4928,1078,958,440,RL,Lvl,Gtl,Pave,TwnhsE,Gable,CBlock,SBrkr,2,Attchd,2,Y,WD,Normal,TA,NA
87000,1930,4388,672,840,0,RM,Bnk,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,3,NA,0,N,WD,Normal,Ex,55
155000,1966,7590,660,660,453,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,69
150000,1958,8973,1008,1053,750,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,FuseA,3,2Types,2,Y,WD,Abnorml,TA,69
226000,1966,14200,924,1216,487,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,4,Attchd,2,Y,WD,Normal,Ex,88
244000,2000,12224,992,1022,390,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,2,Y,WD,Normal,Ex,NA
150750,1959,7388,1063,1327,624,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Detchd,2,Y,WD,Normal,Gd,75
220000,2001,6853,1267,1296,471,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,NA
180000,1968,10335,1461,1721,440,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,78
174000,1970,10400,1304,1682,530,RL,Lvl,Gtl,Pave,1Fam,Hip,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,80
143000,1967,10355,1214,1214,318,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,1,Y,WD,Normal,TA,NA
171000,1988,11070,1907,1959,766,RL,Lvl,Gtl,Pave,Duplex,Gable,CBlock,SBrkr,5,2Types,3,Y,WD,Family,Gd,82
230000,1999,9066,1004,1004,660,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,WD,Normal,Ex,73
231500,1997,15426,928,928,470,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,65
115000,1971,10500,864,864,0,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,NA,0,Y,ConLI,Normal,TA,70
260000,2005,11645,1734,1734,660,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,78
166000,1952,8520,910,910,720,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,4,Detchd,2,Y,WD,Normal,Fa,71
204000,1999,10335,1490,1501,577,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,78
125000,1963,9100,1728,1728,504,RM,Lvl,Gtl,Pave,Duplex,Gable,CBlock,SBrkr,6,Detchd,2,Y,ConLI,Abnorml,TA,70
130000,2004,2522,970,970,380,RM,Lvl,Gtl,Pave,Twnhs,Gable,PConc,SBrkr,3,Detchd,2,Y,WD,Normal,Ex,24
105000,1931,6120,715,875,180,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseA,2,Detchd,1,Y,WD,Normal,TA,51
222500,2001,9505,884,884,434,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,2,Y,WD,Normal,Ex,NA
141000,2004,7500,1080,1080,0,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,NA,0,Y,WD,Normal,Ex,63
115000,1936,6240,896,896,240,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseA,3,Detchd,1,Y,WD,Normal,Gd,NA
122000,1975,10356,969,969,440,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,120
372402,2007,13891,1710,1710,866,RL,Lvl,Gtl,Pave,1Fam,Hip,PConc,SBrkr,2,Attchd,3,Y,New,Partial,Ex,107
190000,1971,14803,825,1097,495,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,4,Attchd,2,Y,WD,Normal,Gd,NA
235000,1960,13500,1602,1252,564,RL,Lvl,Gtl,Pave,1Fam,Flat,CBlock,SBrkr,1,Attchd,2,Y,WD,Normal,Gd,NA
125000,1923,11340,1200,1200,312,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseA,4,Detchd,1,Y,WD,Family,TA,84
79000,1924,9600,572,572,0,RL,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseF,2,NA,0,N,WD,Normal,Fa,60
109500,1950,7200,0,1040,625,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,FuseF,2,Detchd,2,Y,WD,Normal,TA,60
269500,2009,12003,774,774,680,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,BuiltIn,3,Y,New,Partial,Ex,92
254900,2004,12552,991,991,678,FV,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,100
320000,2005,19378,1392,1392,576,RL,HLS,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,Attchd,2,Y,New,Partial,Ex,134
162500,1984,11120,1232,1232,516,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,TA,NA
412500,2003,13688,1572,1572,726,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,BuiltIn,3,Y,WD,Normal,Ex,110
220000,2005,12182,1541,1541,532,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,New,Partial,Ex,95
103200,1956,5500,882,882,0,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,1,NA,0,Y,WD,Normal,Ex,55
152000,1926,5400,1149,1149,216,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseA,3,Detchd,1,Y,WD,Normal,Gd,40
127500,1940,10106,644,808,0,RL,Lvl,Gtl,Pave,2fmCon,Gable,BrkTil,SBrkr,4,NA,0,Y,WD,Normal,Gd,62
190000,1955,10708,1617,1867,303,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,FuseA,2,Attchd,1,Y,COD,Normal,Ex,NA
325624,2007,10562,1582,1610,789,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,New,Partial,Ex,86
183500,2004,8244,840,840,440,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,62
228000,1981,16669,1686,1707,511,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,2,Attchd,2,Y,WD,Normal,TA,NA
128500,1941,12358,720,854,660,RM,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Detchd,2,Y,WD,Normal,TA,NA
215000,1960,31770,1080,1656,528,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Attchd,2,P,WD,Normal,Fa,141
239000,1987,5306,1064,1064,504,RL,Lvl,Gtl,Pave,TwnhsE,Gable,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Gd,44
163000,1961,10197,1362,1362,504,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,COD,Normal,TA,80
184000,1986,12416,1606,1651,616,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,TA,47
243000,1950,12615,1202,2158,576,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,4,Attchd,2,Y,WD,Normal,TA,84
